"PrecursorMz","ProductMz","Retention.time","LibraryIntensity","Name"
244.0928,112.0504706,NA,1,"L0013_[M+H]+"
244.0928,95.02345214,NA,0.063994467,"L0013_[M+H]+"
244.0928,94.03902958,NA,0.022918335,"L0013_[M+H]+"
244.0928,69.04509962,NA,0.016569201,"L0013_[M+H]+"
244.0928,111.7066546,NA,0.014165042,"L0013_[M+H]+"
245.0955,227.0842737,NA,1,"L0014_[M+H]+"
245.0955,97.03936827,NA,0.254347497,"L0014_[M+H]+"
245.0955,123.0247011,NA,0.228981015,"L0014_[M+H]+"
245.0955,166.0682789,NA,0.141480207,"L0014_[M+H]+"
245.0955,105.0689382,NA,0.13119556,"L0014_[M+H]+"
268.1041,136.0604665,NA,1,"L0016_[M+H]+"
268.1041,119.0339032,NA,0.034598286,"L0016_[M+H]+"
268.1041,268.1037897,NA,0.017457786,"L0016_[M+H]+"
385.1289,136.0605111,NA,1,"L0040_[M+H]+"
385.1289,134.0262188,NA,0.703652931,"L0040_[M+H]+"
385.1289,88.02102394,NA,0.315497367,"L0040_[M+H]+"
385.1289,250.0724239,NA,0.072353148,"L0040_[M+H]+"
385.1289,385.1286467,NA,0.06334605,"L0040_[M+H]+"
786.1644,348.0705754,NA,1,"L0043_[M+H]+"
786.1644,439.1011486,NA,0.4393352,"L0043_[M+H]+"
786.1644,136.0607623,NA,0.336218837,"L0043_[M+H]+"
786.1644,786.1618044,NA,0.270548768,"L0043_[M+H]+"
786.1644,359.136526,NA,0.030775386,"L0043_[M+H]+"
131.1179,72.0818178,NA,1,"L0083_[M+H]+"
131.1179,43.02059604,NA,0.188733758,"L0083_[M+H]+"
131.1179,114.0904642,NA,0.166141546,"L0083_[M+H]+"
131.1179,55.05578549,NA,0.102784795,"L0083_[M+H]+"
131.1179,60.04560271,NA,0.060767555,"L0083_[M+H]+"
204.123,85.02891741,NA,1,"L0133_[M+H]+"
204.123,60.08248325,NA,0.04664805,"L0133_[M+H]+"
204.123,204.1226258,NA,0.038030902,"L0133_[M+H]+"
204.123,145.0485404,NA,0.025376894,"L0133_[M+H]+"
204.123,57.03541966,NA,0.023948619,"L0133_[M+H]+"
332.0755,136.0621442,NA,1,"L0140_[M+H]+"
332.0755,81.03402321,NA,0.158505915,"L0140_[M+H]+"
332.0755,119.0339194,NA,0.017766708,"L0140_[M+H]+"
332.0755,332.0754288,NA,0.013968699,"L0140_[M+H]+"
332.0755,332.0800616,NA,0.011938202,"L0140_[M+H]+"
312.1303,180.0876326,NA,1,"L0213_[M+H]+"
312.1303,110.034317,NA,0.03544817,"L0213_[M+H]+"
312.1303,135.0290024,NA,0.022423404,"L0213_[M+H]+"
312.1303,137.0807238,NA,0.014404068,"L0213_[M+H]+"
298.1146,152.0557525,NA,1,"L0235_[M+H]+"
