,exid,precursor_mz,precursor_rt,precursor_intensity,mz,intensity
0,0,702.212492672975,43.882,617,355.0710729628653,379.0
1,0,702.212492672975,43.882,617,371.09551580920834,378.0
2,0,702.212492672975,43.882,617,372.09892198142927,209.0
3,0,702.212492672975,43.882,617,429.0919747909822,163.0
0,1,371.113056553297,44.901,633,57.073974017984206,186.0
1,1,371.113056553297,44.901,633,71.08798550486836,326.0
2,1,371.113056553297,44.901,633,73.04949780632887,442.0
3,1,371.113056553297,44.901,633,129.05560502660606,372.0
4,1,371.113056553297,44.901,633,149.0245308617694,1309.0
5,1,371.113056553297,44.901,633,167.0357720616107,186.0
6,1,371.113056553297,44.901,633,266.99812603765804,233.0
7,1,371.113056553297,44.901,633,355.0704924797729,186.0
0,2,480.156947349507,44.901,531,46.06713682021933,335.0
1,2,480.156947349507,44.901,531,149.04347387622732,233.0
2,2,480.156947349507,44.901,531,207.03206963528046,279.0
3,2,480.156947349507,44.901,531,223.06316951243113,1029.0
4,2,480.156947349507,44.901,531,224.0586973534504,209.0
5,2,480.156947349507,44.901,531,225.06702295551904,163.0
6,2,480.156947349507,44.901,531,281.05441234996556,750.0
7,2,480.156947349507,44.901,531,282.05564629201166,233.0
8,2,480.156947349507,44.901,531,297.07621884708584,328.0
9,2,480.156947349507,44.901,531,299.0683926939149,163.0
10,2,480.156947349507,44.901,531,327.2570866535308,209.0
11,2,480.156947349507,44.901,531,355.0678343865886,209.0
0,3,488.415421926133,44.901,646,46.06713682021933,335.0
1,3,488.415421926133,44.901,646,89.05979508374499,372.0
2,3,488.415421926133,44.901,646,149.04347387622732,233.0
3,3,488.415421926133,44.901,646,207.03206963528046,279.0
4,3,488.415421926133,44.901,646,223.06316951243113,1029.0
5,3,488.415421926133,44.901,646,225.06702295551904,163.0
6,3,488.415421926133,44.901,646,281.05441234996556,750.0
7,3,488.415421926133,44.901,646,297.07621884708584,328.0
8,3,488.415421926133,44.901,646,327.2570866535308,209.0
9,3,488.415421926133,44.901,646,355.0678343865886,209.0
0,4,554.172543927663,44.901,777,46.06915423067865,331.0
1,4,554.172543927663,44.901,777,59.06155769186373,535.0
