precursor_mz,precursor_rt,precursor_intensity,mz,intensity
391.2843,44.900999999999996,758.75,46.070011138916016,38.0
391.2843,44.900999999999996,758.75,57.073970794677734,68.0
391.2843,44.900999999999996,758.75,58.881629943847656,31.0
391.2843,44.900999999999996,758.75,59.062530517578125,284.0
391.2843,44.900999999999996,758.75,60.06303024291992,36.0
391.2843,44.900999999999996,758.75,60.08161163330078,44.0
391.2843,44.900999999999996,758.75,71.08798217773438,131.0
391.2843,44.900999999999996,758.75,72.08097076416016,24.0
391.2843,44.900999999999996,758.75,72.0881576538086,24.0
391.2843,44.900999999999996,758.75,73.03021240234375,142.0
391.2843,44.900999999999996,758.75,73.04949951171875,135.0
391.2843,44.900999999999996,758.75,74.04997253417969,22.0
391.2843,44.900999999999996,758.75,75.04258728027344,18.0
391.2843,44.900999999999996,758.75,80.94658660888672,18.0
391.2843,44.900999999999996,758.75,83.08509063720703,25.0
391.2843,44.900999999999996,758.75,91.05841827392578,18.0
391.2843,44.900999999999996,758.75,95.08367919921875,29.0
391.2843,44.900999999999996,758.75,97.09974670410156,16.0
391.2843,44.900999999999996,758.75,98.98535919189453,20.0
391.2843,44.900999999999996,758.75,101.05918884277344,19.0
391.2843,44.900999999999996,758.75,101.07621002197266,18.0
391.2843,44.900999999999996,758.75,111.0406723022461,36.0
391.2843,44.900999999999996,758.75,113.12996673583984,36.0
391.2843,44.900999999999996,758.75,113.14047241210938,39.0
391.2843,44.900999999999996,758.75,121.10529327392578,17.0
391.2843,44.900999999999996,758.75,123.10987091064453,23.0
391.2843,44.900999999999996,758.75,123.12239074707031,18.0
391.2843,44.900999999999996,758.75,127.06977844238281,32.0
391.2843,44.900999999999996,758.75,129.05560302734375,92.0
391.2843,44.900999999999996,758.75,130.0526885986328,22.0
391.2843,44.900999999999996,758.75,130.06072998046875,25.0
391.2843,44.900999999999996,758.75,137.12811279296875,24.0
391.2843,44.900999999999996,758.75,147.06787109375,30.0
391.2843,44.900999999999996,758.75,147.07984924316406,31.0
391.2843,44.900999999999996,758.75,148.065185546875,32.0
391.2843,44.900999999999996,758.75,148.07891845703125,37.0
391.2843,44.900999999999996,758.75,148.1029510498047,31.0
391.2843,44.900999999999996,758.75,148.11839294433594,21.0
391.2843,44.900999999999996,758.75,149.0245361328125,755.0
391.2843,44.900999999999996,758.75,149.05380249023438,27.0
391.2843,44.900999999999996,758.75,150.02671813964844,73.0
391.2843,44.900999999999996,758.75,150.04571533203125,89.0
391.2843,44.900999999999996,758.75,151.0218505859375,32.0
391.2843,44.900999999999996,758.75,151.14495849609375,17.0
391.2843,44.900999999999996,758.75,154.07254028320312,19.0
391.2843,44.900999999999996,758.75,154.0865478515625,18.0
391.2843,44.900999999999996,758.75,155.10557556152344,16.0
391.2843,44.900999999999996,758.75,163.14263916015625,21.0
391.2843,44.900999999999996,758.75,167.0357666015625,95.0
391.2843,44.900999999999996,758.75,167.05218505859375,92.0
391.2843,44.900999999999996,758.75,168.03817749023438,18.0
391.2843,44.900999999999996,758.75,172.07591247558594,25.0
391.2843,44.900999999999996,758.75,172.0962677001953,44.0
391.2843,44.900999999999996,758.75,172.1166229248047,21.0
391.2843,44.900999999999996,758.75,175.13333129882812,19.0
391.2843,44.900999999999996,758.75,177.0426483154297,16.0
391.2843,44.900999999999996,758.75,179.1472930908203,17.0
391.2843,44.900999999999996,758.75,195.1275177001953,37.0
391.2843,44.900999999999996,758.75,195.14524841308594,71.0
391.2843,44.900999999999996,758.75,199.07244873046875,16.0
391.2843,44.900999999999996,758.75,207.01583862304688,34.0
391.2843,44.900999999999996,758.75,207.0361328125,40.0
391.2843,44.900999999999996,758.75,212.098388671875,19.0
391.2843,44.900999999999996,758.75,223.06948852539062,36.0
391.2843,44.900999999999996,758.75,225.0437469482422,22.0
391.2843,44.900999999999996,758.75,241.17062377929688,20.0
391.2843,44.900999999999996,758.75,241.18157958984375,18.0
391.2843,44.900999999999996,758.75,250.07980346679688,18.0
391.2843,44.900999999999996,758.75,250.95726013183594,23.0
391.2843,44.900999999999996,758.75,250.9773712158203,20.0
391.2843,44.900999999999996,758.75,251.0354766845703,21.0
391.2843,44.900999999999996,758.75,251.05335998535156,26.0
391.2843,44.900999999999996,758.75,266.9981384277344,112.0
391.2843,44.900999999999996,758.75,267.9786376953125,23.0
391.2843,44.900999999999996,758.75,268.00634765625,49.0
391.2843,44.900999999999996,758.75,268.9817810058594,43.0
391.2843,44.900999999999996,758.75,268.98870849609375,43.0
391.2843,44.900999999999996,758.75,279.1492004394531,41.0
391.2843,44.900999999999996,758.75,279.1656799316406,42.0
391.2843,44.900999999999996,758.75,281.0449523925781,44.0
391.2843,44.900999999999996,758.75,282.0390625,16.0
391.2843,44.900999999999996,758.75,285.00335693359375,46.0
391.2843,44.900999999999996,758.75,285.02239990234375,36.0
391.2843,44.900999999999996,758.75,299.09521484375,17.0
391.2843,44.900999999999996,758.75,309.0348815917969,23.0
391.2843,44.900999999999996,758.75,312.9154968261719,30.0
391.2843,44.900999999999996,758.75,335.2802429199219,17.0
391.2843,44.900999999999996,758.75,335.3009338378906,29.0
391.2843,44.900999999999996,758.75,335.30865478515625,22.0
391.2843,44.900999999999996,758.75,337.1166687011719,20.0
391.2843,44.900999999999996,758.75,342.9014892578125,16.0
