"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP0001",702.212492672975,702.200823010414,702.215474552746,43.882,41.844,46.939,1248.275,1244.199,617,616,1
"CP0002",371.113056553297,371.101078384681,371.124554418837,44.901,40.826,47.958,1780.96228571428,1604.74468671679,633,18,1
"CP0003",480.156947349507,480.154483031511,480.186355927004,44.901,40.826,48.977,1124.838,1098.28098170732,531,50,1
"CP0004",488.415421926133,488.397183836607,488.419717371425,44.901,41.844,48.977,1474.493,1452.84746774193,646,58,1
"CP0005",554.172543927663,554.155208277873,554.206015391468,44.901,41.844,48.977,1966.67,1956.18885714286,777,121,1
"CP0006",516.391835343791,516.386992474429,516.424245532753,44.901,41.844,48.977,1549.899,1485.93209677419,607,32,1
"CP0007",431.360062940496,431.352459156659,431.37091583839,45.92,41.844,51.014,2234.42333333333,2087.85005333333,685,30,1
"CP0008",437.335882808338,437.32323596372,437.342921536402,44.901,40.826,47.958,1568.02114285714,1358.86432653061,545,18,1
"CP0009",410.360087216845,410.331719323938,410.387207516192,46.939,42.863,51.014,1816.654125,1441.6545,549,17,1
"CP0010",428.359329293009,428.357489109286,428.364117788079,46.939,42.863,51.014,2227.26075,2007.86021618853,749,24,1
"CP0011",352.30955181329,352.296433484532,352.317952463238,46.939,42.863,51.014,2610.35775,2407.27663900862,901,31,1
"CP0012",338.336030244685,338.328253155345,338.34468189041,45.92,41.844,49.995,2167.147125,1914.13478353658,867,22,1
"CP0013",367.096296976801,367.093320781504,367.108711093171,53.052,46.939,55.09,18475.260375,18466.0905,2909,2908,1
"CP0014",367.086352892796,367.071065193137,367.104825561676,38.788,34.712,46.939,28057.90825,28044.6623333333,2986,2985,1
"CP0015",195.087273891565,195.083822753567,195.087941481903,58.146,55.09,62.222,1096.29028571429,940.995007518797,598,16,1
"CP0016",288.288673276855,288.286309473549,288.291515998127,49.995,46.939,53.052,3562.86016666667,3552.38073809524,1375,214,1
"CP0017",288.287083536051,288.281422586964,288.289059692863,55.09,53.052,58.146,1663.7004,1653.22131428571,864,134,1
"CP0018",317.176227210142,317.160410301839,317.20385290105,57.128,49.995,64.26,2283.41892857143,1892.82964285714,763,24,1
"CP0019",253.173388599071,253.162327791572,253.182894052203,60.184,56.109,64.26,1968.4665,1805.4465,1250,43,1
"CP0020",270.194660863968,270.192447689951,270.211018568606,60.184,57.128,64.26,1742.24571428572,1674.82522507708,959,52,1
"CP0021",314.219068762959,314.21524249976,314.227444334575,60.184,57.128,64.26,2540.01085714286,2527.78457142857,1415,220,1
"CP0022",143.117212795405,143.106470808673,143.119072489525,61.203,54.071,69.354,5717.87973333333,5454.47273333333,2621,87,1
"CP0023",315.148079875973,315.140081201236,315.161585901943,56.109,52.033,60.184,5444.868,5089.20784821428,2330,55,1
"CP0024",315.178384627877,315.177644587839,315.191734877294,56.109,53.052,60.184,5295.00057142857,5035.91975510204,2257,57,1
"CP0025",358.237935850111,358.226397614451,358.249260593251,61.203,54.071,69.354,2925.1662,2425.66892176309,999,21,1
"CP0026",358.267989344691,358.257920643796,358.277897900884,48.977,42.863,52.033,1308.25333333333,1190.35333333333,336,20,1
"CP0027",209.137159280705,209.125622786215,209.145749585483,60.184,57.128,64.26,4235.38914285715,3968.15746938776,2669,66,1
"CP0028",233.141468621074,233.138120703354,233.14992027911,68.335,65.279,72.411,2452.38914285714,2302.61714285714,912,28,1
"CP0029",233.15749096594,233.149966948464,233.161558787641,68.335,65.279,72.411,2481.936,2392.27657142857,911,41,1
"CP0030",233.156016644431,233.145592158272,233.176021880549,61.203,58.146,65.279,1969.727,1867.24471428571,644,29,1
"CP0031",394.345123727918,394.336947320238,394.351654347495,46.939,42.863,51.014,2560.432875,2551.263,599,598,1
"CP0032",394.350866581981,394.333666878206,394.360278574996,9.24,7.203,11.278,1079.875,1074.78125,333,332,1
"CP0033",394.345416463986,394.332835835587,394.349763736478,25.542,21.467,28.599,1639.34114285714,1631.19028571429,271,270,1
"CP0034",394.338962350107,394.328580556074,394.354102993128,58.146,53.052,67.316,3220.60742857143,3205.32457142857,316,315,1
"CP0035",394.349211940061,394.342070418762,394.361679237221,4.146,0.07,7.203,1529.519,1522.386,310,309,1
"CP0036",394.346597890539,394.335067505609,394.351874706113,14.335,11.278,16.373,1250.313,1244.199,287,286,1
"CP0037",394.343661025762,394.332777075746,394.357507303912,31.656,28.599,34.712,1538.43833333333,1531.3065,368,367,1
"CP0038",394.350299685592,394.331441094634,394.360380975473,38.788,34.712,42.863,2014.315875,2005.146,273,272,1
"CP0039",394.344070024891,394.330513856095,394.354045638586,69.354,67.316,72.411,1068.931,1063.836,344,343,1
"CP0040",424.346723971224,424.341684288168,424.363229206691,47.958,43.882,51.014,2895.592,2887.44114285714,659,658,1
"CP0041",424.36600176473,424.357145018362,424.373127591713,8.222,4.146,10.259,1420.25366666667,1413.12183333333,345,344,1
"CP0042",424.355484429546,424.343368140288,424.36792175371,25.542,22.486,29.618,1592.47371428571,1584.32285714286,334,333,1
"CP0043",424.36081189148,424.357145459448,424.362956791763,13.316,10.259,16.373,1395.011,1387.878,287,286,1
"CP0044",424.36493417716,424.356722909266,424.373348529899,32.675,29.618,35.731,1242.97666666667,1235.84483333333,246,245,1
"CP0045",424.350465366196,424.341302880132,424.363057484859,39.807,35.731,43.882,1849.258125,1840.08825,273,272,1
"CP0046",424.356624484033,424.339786328344,424.363482947294,59.165,56.109,66.297,2348.334,2337.1272,290,289,1
"CP0047",424.359489688902,424.344631598003,424.365172606482,69.354,66.297,72.411,1237.066,1230.952,294,293,1
"CP0048",436.368343300799,436.360039250883,436.374855587101,44.901,40.826,48.977,4562.52225,4328.6904375,1376,19,1
"CP0049",367.159750530866,367.157802562356,367.163825551503,60.184,56.109,64.26,5152.450875,4395.28119642857,2800,33,1
"CP0050",69.0458384522625,69.0435671688737,69.047966355086,70.373,66.297,76.486,3232.9697,3136.1742,779,26,1
"CP0051",346.02192147717,346.019728325958,346.025613428371,73.43,68.335,76.486,1666.8795,1654.653,528,82,1
"CP0052",124.058102671302,124.057159830401,124.059238931495,73.43,68.335,77.505,10834.8644444444,10796.0108148148,2917,153,1
"CP0053",373.037971817037,373.030968558948,373.066124058229,73.43,65.279,77.505,3303.05766666667,3176.43123809524,1154,46,1
"CP0054",256.176787023227,256.169702008119,256.184649437009,74.448,53.052,95.845,3277.74002380952,3060.13616326531,612,31,1
"CP0055",283.176060113753,283.171941923361,283.17894536899,74.448,69.354,78.524,4461.71444444445,4028.68666666667,816,15,1
"CP0056",433.27663803766,433.262115991083,433.284137548529,76.486,73.43,78.524,1531.2564,1483.93149677419,590,21,1
"CP0057",477.304429771288,477.300543024773,477.30972569816,76.486,69.354,78.524,1655.69444444445,1608.9438781362,590,23,1
"CP0058",526.416498267189,526.397830580078,526.431482098754,47.958,43.882,52.033,3563.005875,3553.836,899,898,1
"CP0059",526.425896312252,526.421237119468,526.432025088688,7.203,4.146,13.316,2144.76111111111,2134.57222222222,362,357,1
"CP0060",526.43433388291,526.426280786154,526.448208151866,24.524,20.448,27.58,1848.20685714286,1840.056,333,332,1
"CP0061",526.429903828915,526.411644207966,526.449257993153,66.297,61.203,70.373,2019.43777777778,2009.24888888889,310,309,1
"CP0062",526.426985105178,526.410190543484,526.432399354468,31.656,27.58,37.769,2375.0559,2363.848,309,308,1
