"","precursor_mz","precursor_rt","precursor_intensity","mz","intensity"
"1",152.883400250769,40.633,3043,92.9277267456055,186
"2",152.883400250769,40.633,3043,94.9251327514648,373
"3",250.833794547362,40.633,5221,92.9257965087891,186
"4",250.833794547362,40.633,5221,94.924560546875,303
"5",256.849502487793,42.025,4024,92.9289398193359,280
"6",296.839858803237,42.025,2070,92.92578125,140
"7",374.762381521234,40.633,1590,92.9263687133789,280
"8",374.762381521234,40.633,1590,256.852416992188,116
"9",432.720491274104,40.633,1640,256.847839355469,116
"10",460.752979628279,42.025,1190,92.9298858642578,140
"11",344.839375115575,42.025,2281,94.924560546875,116
"12",410.817780882625,44.793,1965,294.897644042969,116
"13",347.884072560193,47.442,2016,188.936920166016,443
"14",347.884072560193,47.442,2016,294.902252197266,210
"15",347.884072560193,47.442,2016,400.864807128906,140
"16",824.72031149368,46.114,3321,824.728332519531,865
"17",458.823394323376,46.114,2163,400.867645263672,349
"18",546.820288637419,46.114,4466,400.864807128906,256
"19",546.820288637419,46.114,4466,440.859985351562,141
"20",546.820288637419,46.114,4466,506.830474853516,401
"21",546.820288637419,46.114,4466,546.823974609375,303
"22",156.062876115614,46.114,2779,116.071426391602,326
"23",394.85117930813,46.114,1186,294.902252197266,140
"24",484.845300640258,46.114,2636,400.862243652344,233
"25",490.048363866243,48.744,490,324.042205810547,116
"26",352.859520248433,46.114,3454,188.937004089355,294
"27",352.859520248433,46.114,3454,294.903686523438,328
"28",352.859520248433,46.114,3454,352.860824584961,116.5
"29",378.882867599004,46.114,2160,188.937072753906,186
"30",378.882867599004,46.114,2160,294.902465820312,303
"31",378.882867599004,46.114,2160,334.894836425781,186
"32",243.060290114149,46.114,3304,153.030334472656,350
"33",243.060290114149,46.114,3304,188.937118530273,140
"34",286.887927214713,44.793,3408,188.939117431641,419.5
"35",400.86386118046,46.114,18194,188.938858032227,982
"36",400.86386118046,46.114,18194,294.902252197266,1368
"37",400.86386118046,46.114,18194,400.864807128906,1733
"38",440.856436824813,46.114,9391,294.900024414062,401
"39",440.856436824813,46.114,9391,334.897430419922,210
"40",440.856436824813,46.114,9391,400.867889404297,767
"41",440.856436824813,46.114,9391,440.860260009766,186
"42",204.91162253256,47.442,3981,82.9754104614258,163
"43",246.896474379671,44.793,5289,188.935287475586,116
"44",246.92763003181,52.62,731,206.934280395508,116
"45",294.901796978026,46.114,25622,82.9743957519531,116
"46",294.901796978026,46.114,25622,188.937408447266,396
"47",135.03054499102,46.114,4054,65.0161819458008,140
"48",135.03054499102,46.114,4054,66.009765625,116
"49",135.03054499102,46.114,4054,92.0266494750977,443
"50",135.03054499102,46.114,4054,135.02961730957,140
"51",242.039305120565,56.519,2410,202.044929504395,276.5
"52",308.010536454501,50.041,1722,202.046081542969,186
"53",278.122376383977,47.442,11646,158.082191467285,311.5
