"","precursor_mz","precursor_rt","precursor_intensity","mz","intensity"
"1",201.11045063009,34.142,913,108.96110534668,119
"2",182.068160710214,34.142,1493,98.9911804199219,105
"3",288.918846169477,37.841,1352,90.9771041870117,211
"4",110.008655123306,34.142,7888,68.9812622070312,277
"5",151.03295407665,34.142,1919,66.0175094604492,119
"6",151.03295407665,34.142,1919,68.9812088012695,264
"7",151.03295407665,34.142,1919,110.008987426758,119
"8",272.940442553564,37.841,3118,90.9765930175781,316.5
"9",272.953253323499,37.841,3112,90.9757537841797,422
"10",294.939009952123,40.276,12180,70.0636978149414,135
"11",294.939009952123,40.276,12180,90.9758071899414,2205
"12",294.939009952123,40.276,12180,158.963241577148,748
"13",294.939009952123,40.276,12180,226.951324462891,237
"14",362.92658508931,40.276,30297,90.9760818481445,4970
"15",362.92658508931,40.276,30297,158.965408325195,2298
"16",362.92658508931,40.276,30297,226.949676513672,1395
"17",408.925649616537,37.841,2811,90.9759178161621,395.5
"18",408.925649616537,37.841,2811,226.955726623535,105.5
"19",408.925649616537,37.841,2811,272.943084716797,158
"20",430.915034088948,40.276,45043,90.9774322509766,4971
"21",430.915034088948,40.276,45043,158.474258422852,113
"22",430.915034088948,40.276,45043,158.963638305664,3518
"23",430.915034088948,40.276,45043,226.951797485352,4753
"24",430.915034088948,40.276,45043,362.930236816406,264
"25",446.892518994327,40.276,3435,106.94938659668,211
"26",446.892518994327,40.276,3435,174.935485839844,132
"27",446.892518994327,40.276,3435,242.927017211914,316
"28",476.901393708079,39.061,2007,90.9772682189941,237.5
"29",476.901393708079,39.061,2007,158.961601257324,118.5
"30",476.901393708079,39.061,2007,226.949340820312,158
"31",476.901393708079,39.061,2007,272.944259643555,211
"32",498.899009034409,40.276,31189,90.9765930175781,1523.5
"33",498.899009034409,40.276,31189,158.963386535645,2212
"34",498.899009034409,40.276,31189,226.951469421387,5065.5
"35",498.899009034409,40.276,31189,294.938674926758,108
"36",498.899009034409,40.276,31189,362.92839050293,546.5
"37",498.899009034409,40.276,31189,430.911102294922,159.5
"38",514.887284001808,40.276,2637,106.94938659668,158
"39",514.887284001808,40.276,2637,174.935485839844,105
"40",514.887284001808,40.276,2637,242.927017211914,237
"41",531.015447357799,40.276,1381,191.076126098633,427
"42",531.015447357799,40.276,1381,327.051208496094,184
"43",544.914700038122,37.841,2241,90.9759178161621,198
"44",544.914700038122,37.841,2241,158.962493896484,118.5
"45",544.914700038122,37.841,2241,204.956909179688,105.5
"46",544.914700038122,37.841,2241,226.951469421387,237
"47",544.914700038122,37.841,2241,272.941925048828,303
"48",544.914700038122,37.841,2241,408.922119140625,105.5
"49",582.870962476136,40.276,2206,106.949264526367,105
"50",582.870962476136,40.276,2206,174.935440063477,105
"51",582.870962476136,40.276,2206,226.949188232422,158
"52",582.870962476136,40.276,2206,242.924880981445,422
"53",582.870962476136,40.276,2206,378.902648925781,158
"54",600.916021238901,39.061,4709,226.947914123535,238.5
"55",612.887265103851,39.061,2398,90.9765930175781,144.5
"56",612.887265103851,39.061,2398,158.965156555176,105
"57",612.887265103851,39.061,2398,226.951797485352,211
"58",612.887265103851,39.061,2398,272.943084716797,224
"59",612.887265103851,39.061,2398,408.923538208008,210.5
"60",634.861290851369,40.276,30250,90.9760818481445,799
"61",634.861290851369,40.276,30250,158.963638305664,1162
"62",634.861290851369,40.276,30250,226.951797485352,5760
"63",634.861290851369,40.276,30250,294.943939208984,240
"64",634.861290851369,40.276,30250,361.784790039062,110
"65",634.861290851369,40.276,30250,362.927520751953,2002
"66",634.861290851369,40.276,30250,430.913116455078,1307
"67",634.861290851369,40.276,30250,498.903381347656,560
"68",634.861290851369,40.276,30250,566.893676757812,158
"69",634.861290851369,40.276,30250,634.883361816406,105
"70",642.880673871374,40.276,1885,226.951324462891,158
"71",642.880673871374,40.276,1885,242.924880981445,132
"72",650.852682051913,40.276,2512,191.078079223633,105
"73",650.852682051913,40.276,2512,226.949188232422,184
"74",650.852682051913,40.276,2512,242.924880981445,533
"75",650.852682051913,40.276,2512,327.051208496094,105
"76",650.852682051913,40.276,2512,378.897155761719,105
"77",650.852682051913,40.276,2512,514.875915527344,132
"78",676.874039413363,40.276,2120,226.947067260742,211
"79",676.874039413363,40.276,2120,242.920471191406,158
"80",680.8623905801,39.061,2403,90.9760818481445,105
"81",680.8623905801,39.061,2403,158.963638305664,105
"82",680.8623905801,39.061,2403,226.951797485352,290
"83",680.8623905801,39.061,2403,272.948150634766,184
"84",680.8623905801,39.061,2403,408.916931152344,184
"85",702.852307502778,39.061,28508,90.9765930175781,250.5
"86",702.852307502778,39.061,28508,158.965156555176,463.5
"87",702.852307502778,39.061,28508,226.951469421387,3422.5
"88",702.852307502778,39.061,28508,294.939880371094,399
"89",702.852307502778,39.061,28508,362.92839050293,1166
"90",702.852307502778,39.061,28508,430.914031982422,1601.5
"91",702.852307502778,39.061,28508,498.904312133789,395.5
"92",702.852307502778,39.061,28508,566.892974853516,407
"93",702.852307502778,39.061,28508,634.875518798828,145
"94",702.852307502778,39.061,28508,702.868774414062,131.5
"95",710.872193086304,40.276,2243,226.949157714844,105
"96",710.872193086304,40.276,2243,242.924819946289,158
"97",718.833012641016,40.276,2260,226.949188232422,211
"98",718.833012641016,40.276,2260,242.92707824707,264
"99",718.833012641016,40.276,2260,310.916961669922,105
"100",718.833012641016,40.276,2260,327.051208496094,105
"101",718.833012641016,40.276,2260,362.929565429688,132
"102",718.833012641016,40.276,2260,378.902648925781,211
"103",718.833012641016,40.276,2260,430.912384033203,105
"104",718.833012641016,40.276,2260,446.888397216797,211
"105",718.833012641016,40.276,2260,514.879150390625,105
"106",736.850611624319,40.276,7471,90.9759521484375,158
"107",736.850611624319,40.276,7471,158.961532592773,264
"108",736.850611624319,40.276,7471,226.949157714844,612
"109",736.850611624319,40.276,7471,362.923919677734,369
"110",736.850611624319,40.276,7471,430.911987304688,244
"111",736.850611624319,40.276,7471,566.892150878906,158
"112",736.850611624319,40.276,7471,634.878051757812,105
"113",736.850611624319,40.276,7471,702.86572265625,132
"114",748.844794796137,37.841,2193,226.951469421387,290
"115",748.844794796137,37.841,2193,272.943084716797,132
"116",748.844794796137,37.841,2193,408.920684814453,158
"117",748.844794796137,37.841,2193,476.906433105469,105.5
"118",770.857569135724,39.061,22529,90.9759216308594,118.5
"119",770.857569135724,39.061,22529,158.96427154541,316
"120",770.857569135724,39.061,22529,226.950408935547,1931
"121",770.857569135724,39.061,22529,294.937454223633,251
"122",770.857569135724,39.061,22529,362.927062988281,1121
"123",770.857569135724,39.061,22529,430.915496826172,1410
