,precursor_mz,precursor_rt,precursor_intensity,DeepDIA_corr,MSDIAL_corr
7,294.939009952123,40.275999999999996,12180.0,0.8848805101132378,0.9320438307874602
10,430.915034088948,40.275999999999996,45043.0,0.9890710967435401,0.9929197279227546
13,498.899009034409,40.275999999999996,31189.0,0.9967641522345109,0.9966768535360543
16,544.9147000381221,37.841,2241.0,0.7388132385895326,0.833166833661765
19,612.8872651038511,39.061,2398.0,0.2857446189734127,0.4574175539737714
24,680.8623905801,39.061,2403.0,0.6194816726718019,0.7204534954324162
25,702.852307502778,39.061,28508.0,0.9737024093424795,0.9383387086352777
32,786.819815277561,40.275999999999996,1758.0,0.44976483913347504,0.6240309342432931
33,816.8759090119901,39.061,1703.0,0.25195105232540815,0.5549344485850967
40,940.8088515908009,40.275999999999996,4123.0,0.8790183687991159,0.9193171895373589
54,384.76466204781195,43.855,2765.0,0.5357461593113022,0.6003454875096621
56,450.756284231126,43.855,4029.0,0.6870661198462399,0.9110895751610724
88,192.12283315468602,48.62,10797.0,0.9244791803797922,0.8442990608049231
108,104.05187500184601,69.759,16901.0,0.9096144370014315,0.905768957401869
118,361.063548643514,65.046,18531.0,0.9419137740433073,0.9888355599198551
122,130.085621327901,68.569,15027.0,0.9970088244479085,0.9983644596312045
132,153.040752321631,89.552,16173.0,0.8864569630210456,0.9218262098868218
139,104.10657209563801,46.286,126867.0,0.9326186705705235,0.9463760283190491
151,204.123200549864,68.569,106519.0,0.9935915083534375,0.9933885510233122
152,130.04970017688402,70.917,54236.0,0.9947418076056321,0.9951908240012033
155,313.160603014461,95.426,3024.0,0.5913832341728671,0.8242064427603275
156,363.147533146531,94.277,19845.0,0.916460845239193,0.9241356504492525
160,312.096187178648,132.421,15367.0,0.3325030649487607,0.4342622752250929
165,131.692786949249,110.434,1362.0,0.9920535821593999,0.9924251514817348
166,131.691760737657,95.426,817.0,0.9215781509239849,0.9279091673802498
171,165.053997953449,123.06700000000001,3490.0,0.8645290964637793,0.8823783418790329
176,153.06508853947,135.967,16362.0,0.8124865992472913,0.9007496638667631
177,162.112375098512,47.46,151239.0,0.9214885376080362,0.915027334198096
178,169.035470356417,72.07600000000001,197576.0,0.9703485932324668,0.9651109322842162
179,169.03558865799,63.871,144363.0,0.9454288655002355,0.9588004627424427
181,218.126289035315,130.08,46346.0,0.9855813717643094,0.9860151539605728
185,165.059393222464,123.06700000000001,3553.0,0.8645290964637793,0.8823783418790329
188,182.076849516385,123.06700000000001,8948.0,0.9587481258896609,0.9567868362055714
189,182.081720607054,94.277,231905.0,0.96501808313399,0.9629715506894071
192,229.154560113598,69.759,14212.0,0.9073605298378359,0.8977923127040374
195,280.091541491321,43.855,20837.0,0.9182826154805681,0.8596999355990229
196,280.146303970909,81.325,26135.0,0.6586196108721003,0.6493610983725264
197,137.045650594591,76.705,149847.0,0.9945720601777724,0.99489446308797
201,132.101384238069,111.581,149523.0,0.9791031718885431,0.9795525481603659
202,132.100089267871,94.277,97221.0,0.8964785171239728,0.9050232569428642
209,265.158757255657,193.896,9094.0,0.9441454940229418,0.9641636104915252
214,418.184848430546,148.38299999999998,9527.0,0.4166443357714902,0.5354651762183593
217,125.01683778654899,230.64700000000002,2900.0,0.9943998291756775,0.8682897210403427
225,328.139945095891,212.765,9698.0,0.23984347370770503,0.8803948656527791
226,168.091791413868,194.393,4150.0,0.896666058904218,0.8126204747928776
232,120.043829695817,204.679,4531.0,0.9494845962616975,0.9511545753443531
241,342.151329462255,217.477,11215.0,0.8725388893555306,0.9252971299815942
246,181.07198999804902,262.58299999999997,18866.0,0.9636758552444763,0.9235622498509444
247,185.12197090742802,277.375,36619.0,0.9918289262180309,0.9902517220921748
248,185.13403921764998,277.375,36577.0,0.9937774067744201,0.9911278570694319
251,401.06693772580496,209.28099999999998,4633.0,0.8760254709170361,0.9060546514136625
254,515.200497950954,262.58299999999997,25447.0,0.8661637609004104,0.8913964954762323
256,209.091777528568,163.582,6717.0,0.8046609832427762,0.42796486415567553
257,334.152511939921,285.099,6395.0,0.5940189610751947,0.7274664888308596
272,132.080836494784,292.20599999999996,6848.0,0.3720518946558088,0.4883050485215377
285,971.330441917057,309.54,3162.0,0.25432084457290244,0.26387302814906444
287,344.058085641243,309.54,10417.0,0.7680331160296417,0.8205368513503705
289,961.377216571574,309.54,5797.0,0.6583592435029083,0.5930269044382097
299,944.341321198538,308.393,64457.0,0.8458004079971968,0.8044158616784887
301,417.071353806751,309.54,8255.0,0.8489639855914058,0.8638412292433884
303,228.073101857215,321.393,3191.0,0.7449325879866956,0.6335173106011329
315,247.146638998843,351.83099999999996,62059.0,0.9631382059554185,0.9699774800873338
322,295.125510474547,354.728,12225.0,0.9209163764501644,0.9336062887592164
326,261.145341370763,316.699,16723.0,0.9857250631819435,0.9725313128429945
341,413.05763592183405,381.99800000000005,1753.0,0.3531870086770093,0.3996468736751983
345,328.08053117672404,359.49,11802.0,0.8723926712629123,0.896605943594076
346,328.078723130999,315.54,14761.0,0.9299731017478092,0.8942166511761053
356,188.070682659923,350.657,11882.0,0.8217296433321397,0.8068161134303754
357,383.068136355905,364.62199999999996,4859.0,0.9340138459019252,0.9352984033681474
366,529.225900792586,397.029,33010.0,0.9639804204602042,0.9784098525906576
373,456.090035666597,393.546,23011.0,0.9204397555081968,0.9254670046189382
378,461.191656250377,400.494,3106.0,0.9562309719330275,0.8314428754285047
404,397.05515034972,438.69800000000004,8077.0,0.9451829938280929,0.9533049491989894
413,212.109275651105,433.85400000000004,9826.0,0.7687820503805217,0.8378390644286214
417,162.05209175179,464.222,4316.0,0.47913105330894384,0.5055270882387007
418,198.094599815222,413.401,3512.0,0.30941960212295855,0.738801842381482
