,precursor_mz,precursor_rt,rank_deepdia,rank_msdial
0,440.856436824813,46.114,1,1
1,135.03054499101998,46.114,2,21
2,255.086393076113,59.198,7,8
3,332.11801780247396,69.39,8,3
4,230.011679192239,298.653,1,4
5,107.05090122165701,317.954,1,1
6,187.00667392628503,317.954,1,9
7,599.24739937353,366.517,1,1
8,226.01625898417305,376.792,1,1
9,267.12187486659303,394.653,3,3
10,311.13921236934,447.293,26,29
11,350.148273842048,453.575,2,14
12,361.198879353114,529.578,1,1
13,367.1556699759049,556.0790000000002,2,2
14,385.25693072128996,563.725,1,1
15,463.30340894553495,566.2909999999998,2,2
16,511.298444683179,602.4630000000002,1,2
17,357.995184025986,625.05,1,1
18,457.349755565467,684.2869999999998,1,1
19,391.28279785997,676.405,1,2
20,413.32421289082004,706.5210000000002,5,9
21,485.380666373523,743.567,1,4
22,441.355233478343,694.83,7,7
23,441.3540153953901,761.413,7,25
24,445.327871075857,744.8580000000002,2,1
25,619.284961967759,790.6669999999998,1,1
26,513.410330116389,788.1160000000001,1,1
27,513.411547462627,779.242,1,1
28,433.2334161998471,772.883,4,4
29,325.236626185094,800.812,2,2
30,433.136749599291,738.1489999999999,5,1
31,457.232899828008,775.445,1,1
32,467.371152039473,698.7239999999998,4,6
33,327.229888294153,804.5830000000002,5,5
34,528.288257368451,813.378,1,1
35,447.34352907397596,772.883,3,1
36,447.344246839898,761.413,3,1
37,469.3856925151,746.1469999999998,6,5
38,602.303621847813,820.951,2,2
39,303.230182798226,805.837,1,23
40,353.19569423025,812.112,5,10
41,511.4687762764711,817.178,1,1
42,279.231351213493,799.561,6,1
43,524.272954380526,841.062,2,2
44,475.37485324988404,813.378,2,1
45,500.272383721129,843.568,1,2
46,457.232112527391,854.918,1,1
47,565.328645418452,854.918,1,1
48,476.2750239348909,843.568,1,1
49,542.305146190847,847.347,1,1
50,542.304394217064,833.4889999999998,1,1
51,524.292585921993,856.171,3,5
52,599.315615722675,859.939,2,5
53,599.315917900955,848.605,2,5
54,628.320682203635,852.404,1,1
55,628.316618265727,842.313,1,1
56,554.303925603183,832.227,1,1
57,453.278058694968,867.4989999999998,6,12
58,433.231313891073,854.918,1,1
59,605.324314774182,854.918,1,1
60,604.319370245189,854.918,1,1
61,464.27332090931503,881.43,1,2
62,616.352684245476,881.43,1,1
63,580.321308180665,843.568,1,1
64,494.321146517927,881.43,1,7
65,495.399936910858,791.924,1,1
66,436.28031290224493,885.215,2,2
67,541.325988388497,867.4989999999998,1,1
68,409.233023498794,881.43,2,1
69,409.232716988471,867.4989999999998,2,1
70,478.289873094376,882.691,3,5
71,436.251760968815,897.79,1,1
72,540.325737193046,881.43,1,2
73,461.262054507695,897.79,1,8
74,604.305024710849,896.534,1,1
75,419.25311017252295,911.677,2,4
76,570.3358342090261,901.564,2,1
77,609.355092262256,914.224,1,1
78,480.305794655899,930.754,1,3
79,720.515465476932,912.947,1,1
80,556.319945205346,881.43,1,1
81,556.318943698714,867.4989999999998,1,1
82,596.350235913766,928.203,1,1
83,465.31511639810304,945.236,1,8
84,575.464254782985,910.408,1,1
85,735.5243772217419,921.853,1,2
86,417.283044925438,938.903,1,5
87,736.525569976891,924.389,1,1
88,549.364398695917,950.315,1,1
89,522.350310149136,950.315,1,2
90,437.26321597021,950.315,1,1
91,437.264767902604,935.853,1,1
92,465.298847248973,961.684,1,7
93,577.477827939644,945.236,1,1
94,598.369672893813,981.983,1,1
95,762.541462120997,973.11,1,1
96,584.351763138467,950.315,1,2
97,556.4609354485,989.58,1,2
98,492.34009138309403,995.928,1,1
99,612.3839073406871,1012.44,1,1
100,700.5227480784331,1007.35,3,1
101,750.538469964987,975.644,2,1
102,750.5384822249962,987.058,2,1
103,771.510920223567,1020.06,1,1
104,857.511117480019,1016.25,3,2
105,745.492814980394,1027.7,1,1
106,910.5476325646421,1028.98,1,1
107,834.516634760922,1018.79,1,4
108,911.5556868966768,1037.9,3,4
109,778.53722022291,1056.96,1,1
110,837.5346993447562,1035.35,1,1
111,715.604665585462,1069.73,2,2
112,913.5734991885261,1055.68,2,3
113,810.522750291008,1044.23,1,2
114,864.5637332318829,1064.62,1,1
115,889.5760401689861,1068.45,1,1
116,479.332167566146,1069.73,1,4
117,479.334106174507,1056.96,1,2
118,802.5537748615932,987.058,1,1
119,818.54925849883,994.661,1,1
120,818.5477971510741,935.853,1,1
121,818.548745091844,905.342,1,1
122,762.502088643996,1032.81,1,1
123,698.5500475947998,1071.0,1,5
124,223.02566484324902,1026.42,2,1
125,764.517760295785,1122.61,1,1
126,659.54117687643,1007.35,1,3
127,473.277129530611,864.965,1,1
128,714.502659902952,1110.98,3,1
129,339.197732314179,842.313,2,3
130,790.5264493638,1044.23,1,1
131,403.302747216527,1069.73,7,1
132,325.181118106822,813.378,1,2
133,722.507925307105,1125.16,1,1
134,297.240352814394,793.187,4,4
135,445.350121645268,1007.35,3,1
136,748.522546068948,999.731,1,1
137,748.523418416186,1128.98,1,1
138,764.556676236205,1136.68,1,1
139,766.53342107946,1091.52,5,1
140,388.15143425675,817.178,1,2
141,742.5325645946291,1117.47,1,1
142,311.29379724586005,1137.96,1,10
143,311.293779221453,1100.58,1,10
144,763.554900385867,1136.68,1,1
145,868.5644945621698,1152.06,1,1
146,196.91314378815602,1100.58,1,1
147,190.974207412531,1184.4,1,5
148,233.02067645295503,1184.4,1,1
149,283.26192548937803,1056.96,1,6
