"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP0001",134.981398930198,134.979248046875,134.982711791992,26.727,0.149,37.555,21247.5923684211,21211.1707368421,779,750,1
"CP0002",111.007781498765,111.004272460938,111.01025390625,36.572,32.635,38.539,2545.608,2499.2938487395,1276,28,1
"CP0003",112.937177168003,112.937019348145,112.942993164062,36.572,30.666,38.539,5706.940875,5699.067875,2384,2383,1
"CP0004",112.937183973168,112.935523986816,112.941524505615,6.058,0.149,10.98,327.883909090909,317.052909090909,54,53,1
"CP0005",112.938517470739,112.932518005371,112.941524505615,18.851,10.98,30.666,634.8735,614.2032,55,54,1
"CP0006",117.019690794553,117.015907287598,117.020660400391,36.572,30.666,38.539,2005.64675,1983.60235,719,116,1
"CP0007",133.984492568558,133.983245849609,133.985076904297,27.712,13.931,38.539,12167.17952,12142.57152,708,707,1
"CP0008",133.984878540039,133.984878540039,133.984878540039,18.851,14.914,21.803,4375.49914285714,4367.626,670,669,1
"CP0009",137.939658899505,137.938018798828,137.942825317383,35.588,30.666,38.539,1492.917625,1469.15100625,556,85,1
"CP0010",186.025467564096,186.020401000977,186.032035827637,36.572,31.651,38.539,1542.912,1536.7128,735,286,1
"CP0011",192.01401791031,192.006927490234,192.023422241211,36.572,31.651,38.539,4274.496,4175.19907964602,2294,65,1
"CP0012",192.962650910733,192.958099365234,192.972061157227,29.681,17.866,38.539,15964.4781428571,15891.182961039,1004,85,1
"CP0013",192.959833606368,192.955612182617,192.962158203125,4.088,0.149,9.995,8790.5088,8755.60025454546,983,83,1
"CP0014",194.927884779202,194.927474975586,194.93132019043,36.572,30.666,38.539,10191.5985,9853.51723255814,4261,80,1
"CP0015",206.943245074239,206.938385009766,206.952606201172,5.074,1.134,9.01,1505.3005,1496.44,209,208,1
"CP0016",206.946711518044,206.939399719238,206.952606201172,12.947,9.01,17.866,1616.712,1606.872,217,216,1
"CP0017",206.941466449428,206.937660217285,206.950454711914,25.743,17.866,31.651,2759.95392857143,2745.18428571429,278,277,1
"CP0018",206.956582564249,206.95051574707,206.958877563477,36.572,31.651,38.539,2363.568,2356.68,780,779,1
"CP0019",212.983273222388,212.977508544922,212.986877441406,36.572,30.666,41.493,5753.07409090909,5561.57152840909,1874,78,1
"CP0020",212.987535714341,212.986785888672,212.988983154297,36.572,30.666,38.539,5565.226875,5507.40953125,1809,123,1
"CP0021",217.896787288869,217.894561767578,217.903854370117,36.572,33.62,38.539,1645.8974,1641.9622,626,625,1
"CP0022",230.998231249242,230.982070922852,230.999435424805,36.572,30.666,40.508,3391.5532,3040.6243875,1121,41,1
"CP0023",251.949195822658,251.942268371582,251.958679199219,37.555,31.651,38.539,1224.096,1099.97284848485,787,21,1
"CP0024",275.082984582601,275.074996948242,275.087921142578,36.572,30.666,41.493,4761.91145454545,4451.61244675325,1236,45,1
"CP0025",287.960406879907,287.937835693359,287.966644287109,37.555,33.62,38.539,786.056200000001,766.773720000001,710,74,1
"CP0026",311.97020395538,311.965057373047,311.972564697266,36.572,31.651,40.508,1244.90055555556,1227.97384444444,540,76,1
"CP0027",315.864530526304,315.861907958984,315.875701904297,36.572,33.62,40.508,2561.352,2552.414,1125,226,1
"CP0028",316.894300373333,316.879516601562,316.90131632487,36.572,30.666,41.493,4770.76990909091,4380.59616512059,2190,26,1
"CP0029",392.019526867989,391.998596191406,392.029581705729,36.572,32.635,38.539,1535.04,1487.562,671,33,1
"CP0030",406.046207003182,406.042083740234,406.062072753906,36.572,33.62,41.493,10660.042,10475.5185625,4907,32,1
"CP0031",407.055593803678,407.048889160156,407.067565917969,36.572,33.62,38.539,1624.2538,1599.26528,810,41,1
"CP0032",408.89028979886,408.883453369141,408.904876708984,5.074,0.149,14.914,651.628666666667,636.863666666667,68,67,1
"CP0033",408.901493433741,408.889068603516,408.90348815918,36.572,31.651,38.539,5009.544,5002.656,1986,1985,1
"CP0034",428.017097092056,428.01301574707,428.033599853516,36.572,33.62,38.539,3939.1352,3924.27982,1312,137,1
"CP0035",436.17135363776,436.149353027344,436.176040649414,36.572,31.651,38.539,1857.792,1847.46,590,132,1
"CP0036",526.023154470781,525.998962402344,526.060119628906,36.572,32.635,38.539,2500.344,2454.22830252101,1106,46,1
"CP0037",102.055866935443,102.055618286133,102.060619354248,37.555,32.635,42.477,2557.9358,2500.91009411765,1394,49,1
"CP0038",115.003360012994,115.001487731934,115.006065368652,36.572,31.651,42.477,1393.60145454545,1322.98640909091,552,43,1
"CP0039",136.939605886362,136.932678222656,136.94669342041,36.572,23.773,46.414,11587.2700434783,11530.9807588933,3893,349,1
"CP0040",138.938595565719,138.935134887695,138.950119018555,11.964,0.149,27.712,501.055964285714,473.492964285714,48,47,1
"CP0041",138.937170877176,138.93359375,138.940124511719,35.588,30.666,39.523,2175.86966666667,2167.01266666667,738,737,1
"CP0042",147.029077616381,147.028610229492,147.032043457031,36.572,28.697,39.523,2710.43672727273,2687.14442424243,1483,230,1
"CP0043",173.004138997699,172.999366760254,173.008834838867,36.572,30.666,39.523,3356.803,3206.25189292929,1225,29,1
"CP0044",188.055713939294,188.054779052734,188.05680847168,36.572,30.666,39.523,2792.90733333333,2777.85043333333,900,118,1
"CP0045",191.018678869355,191.018493652344,191.018737792969,36.572,31.651,41.493,50586.8958,50356.0561636364,20177,545,1
"CP0046",212.907047827371,212.896224975586,212.91463470459,37.555,31.651,42.477,751.914909090909,723.570472727272,540,81,1
"CP0047",309.099818908016,309.094757080078,309.099914550781,36.572,31.651,39.523,6768.936,6742.4172,2229,129,1
"CP0048",310.949267372228,310.935394287109,310.960205078125,36.572,32.635,39.523,4827.504,4792.92342857143,2004,77,1
"CP0049",330.061193869122,330.050552368164,330.079956054688,36.572,32.635,48.383,4620.0695,4423.39067391304,1442,39,1
"CP0050",336.82670553446,336.816223144531,336.833160400391,36.572,33.62,42.477,2765.35222222222,2753.6413,856,60,1
"CP0051",349.940963450917,349.933868408203,349.956827799479,37.555,33.62,42.477,965.413,937.398637037037,509,47,1
"CP0052",525.9771857746,525.940368652344,525.982757568359,36.572,33.62,39.523,2750.798,2718.39935057472,1161,61,1
"CP0053",111.947537434203,111.946868896484,111.948837280273,36.572,31.651,40.508,2915.92122222222,2790.3335042735,944,39,1
"CP0054",133.013829120718,133.012252807617,133.032119750977,36.572,31.651,40.508,4072.25177777778,3965.96777777778,1635,98,1
"CP0055",193.033001330759,193.026916503906,193.035797119141,37.555,32.635,40.508,1660.218875,1592.51786206897,772,60,1
"CP0056",216.895685146391,216.890533447266,216.896942138672,36.572,33.62,40.508,10457.952,10452.048,3575,1394,1
"CP0057",236.074217777334,236.065895080566,236.079223632812,37.555,32.635,40.508,5047.577125,4977.22025409836,2819,51,1
"CP0058",265.980231738741,265.959930419922,265.985977172852,37.555,33.62,42.477,4592.84655555555,4564.30733333333,2543,199,1
"CP0059",430.869673987805,430.831970214844,430.881713867188,36.572,31.651,40.508,1737.94022222222,1659.99862222222,602,30,1
"CP0060",110.92684643872,110.922782897949,110.931079864502,38.539,36.572,41.493,1504.8418,1500.905,763,762,1
"CP0061",205.991101837923,205.986557006836,206.003112792969,38.539,32.635,44.445,2012.62083333333,1995.05345833333,1266,128,1
"CP0062",236.855726948753,236.854248046875,236.87614440918,38.539,33.62,41.493,1621.838,1574.99365,1208,129,1
"CP0063",285.939524905782,285.913543701172,285.94482421875,38.539,36.572,41.493,698.782,687.9558,509,84,1
"CP0064",294.074694766303,294.065719604492,294.080596923828,36.572,32.635,42.477,6729.9596,6647.41085882353,2263,114,1
"CP0065",314.860204268788,314.838348388672,314.871368408203,36.572,31.651,41.493,14749.2212,14680.093661017,6855,181,1
"CP0066",118.942218604641,118.938415527344,118.949501037598,39.523,24.758,55.273,2648.89887096774,2578.61593548387,1240,129,1
"CP0067",130.889606682747,130.886795043945,130.891311645508,39.523,36.572,42.477,1415.23166666667,1410.31083333333,636,635,1
"CP0068",156.897817716475,156.874710083008,156.902816772461,37.555,32.635,42.477,2367.9852,2266.1205,1713,127,1
"CP0069",286.784062277057,286.780136108398,286.786270141602,39.523,37.555,42.477,1643.948,1640.0104,594,593,1
"CP0070",294.797781314817,294.791732788086,294.800048828125,39.523,37.555,42.477,1731.5596,1727.622,1081,1080,1
"CP0071",352.787097357885,352.769744873047,352.806915283203,39.523,33.62,42.477,1834.38311111111,1826.51022222222,1176,1175,1
"CP0072",388.725972839521,388.723587036133,388.727676391602,39.523,37.555,42.477,2546.6428,2542.7052,1049,1048,1
"CP0073",442.685508433294,442.676147460938,442.693603515625,39.523,37.555,42.477,5351.1984,5347.2608,1908,1907,1
"CP0074",506.650035304519,506.638168334961,506.65380859375,39.523,37.555,42.477,4533.162,4529.2244,1654,1653,1
"CP0075",542.61847390474,542.600250244141,542.635101318359,39.523,37.555,42.477,5665.222,5661.2844,1593,1592,1
"CP0076",556.600119121135,556.593200683594,556.603515625,39.523,37.555,42.477,2342.872,2338.9344,697,696,1
"CP0077",576.584443172785,576.583831787109,576.585632324219,40.508,37.555,42.477,2672.646,2668.7084,922,921,1
"CP0078",584.612477800351,584.591430664062,584.626922607422,39.523,37.555,42.477,1948.1276,1944.19,731,730,1
"CP0079",620.563815079839,620.545654296875,620.573974609375,39.523,37.555,42.477,2585.0344,2581.0968,1081,1080,1
"CP0080",726.501487218587,726.478698730469,726.511840820312,39.523,36.572,42.477,2120.87916666666,2115.95833333333,788,241,1
"CP0081",796.445445992658,796.411865234375,796.462127685547,39.523,36.572,44.445,2338.281,2320.27871341463,1018,69,1
"CP0082",150.886518699669,150.883972167969,150.887435913086,40.508,37.555,43.46,13030.3666666667,13025.4458333333,3218,3217,1
"CP0083",152.883644904455,152.880447387695,152.884262084961,40.508,36.572,43.46,12708.36,12702.456,3661,3660,1
"CP0084",154.881100690189,154.879699707031,154.88542175293,40.508,37.555,43.46,4193.53416666667,4188.61333333333,1121,1120,1
"CP0085",208.844683509062,208.842742919922,208.845245361328,40.508,36.572,43.46,7808.04,7802.136,2013,2012,1
"CP0086",212.846495604289,212.83674621582,212.861145019531,40.508,36.572,43.46,5497.608,5491.704,1455,1454,1
"CP0087",218.889825157006,218.869537353516,218.894439697266,37.555,28.697,43.46,3165.1872,3155.3452,849,208,1
"CP0088",234.868901538034,234.856430053711,234.872901916504,39.523,26.727,43.46,3068.04476470588,2941.95668823529,1781,167,1
"CP0089",254.828953609532,254.815963745117,254.829833984375,40.508,36.572,43.46,2018.184,2012.28,545,544,1
"CP0090",270.793898820401,270.785766601562,270.796478271484,40.508,37.555,43.46,25639.51,25634.5891666667,7232,7231,1
"CP0091",278.8278626727,278.825836181641,278.835174560547,40.508,36.572,43.46,2666.64,2660.736,984,983,1
"CP0092",284.778048709305,284.773040771484,284.787155151367,40.508,37.555,43.46,2772.3975,2767.47666666667,1004,1003,1
"CP0093",306.79472346076,306.792297363281,306.821746826172,40.508,36.572,43.46,6308.424,6302.52,1496,1495,1
