"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP0001",172.989669012367,172.987838745117,172.991546630859,7.261,0.149,16.401,3542.936,2703.9504,304,26,1
"CP0002",240.180327555339,240.1796875,240.181869506836,10.31,7.261,12.341,1272.032,1159.44414814815,264,246,1
"CP0003",164.969048821031,164.968185424805,164.97021484375,33.673,30.624,36.722,1755.20766666667,1750.126,510,176,1
"CP0004",102.969588354291,102.969413757324,102.9697265625,34.689,31.64,37.738,1600.725,1584.29427777778,505,50,1
"CP0005",125.984973353851,125.984390258789,125.986122131348,33.673,29.607,36.722,3555.46714285714,3449.69878151261,936,39,1
"CP0006",127.023212026088,127.021949768066,127.023681640625,34.689,30.624,38.754,1363.8075,1357.71,401,73,1
"CP0007",130.016446925415,130.014572143555,130.017944335938,34.689,31.64,38.754,1575.24285714286,1549.48001428571,439,14,1
"CP0008",132.99745360025,132.99658203125,132.998352050781,33.673,30.624,36.722,2951.432,2946.35033333333,810,809,1
"CP0009",141.039641615622,141.039520263672,141.039779663086,34.689,31.64,36.722,2418.0156,2413.95,694,693,1
"CP0010",145.016515853325,145.015960693359,145.017791748047,34.689,29.607,37.738,1531.677125,1467.28976875,431,19,1
"CP0011",147.050316946847,147.048828125,147.050857543945,33.673,30.624,37.738,2711.45028571429,2669.99607683073,743,23,1
"CP0012",159.049191317351,159.048156738281,159.050064086914,33.673,30.624,37.738,2153.50942857143,2140.45015714286,594,37,1
"CP0013",160.991935066405,160.990524291992,160.994003295898,33.673,30.624,37.738,2322.21285714286,2293.46648979592,615,35,1
"CP0014",171.067250690841,171.066696166992,171.068664550781,33.673,29.607,36.722,3177.35571428572,3162.08366146459,978,63,1
"CP0015",172.06361945549,172.062149047852,172.064117431641,33.673,30.624,38.754,2968.46625,2949.25143907563,892,49,1
"CP0016",175.04500775176,175.043029785156,175.046936035156,33.673,29.607,37.738,2365.104625,2323.01474264706,680,23,1
"CP0017",182.961888473208,182.960968017578,182.964691162109,33.673,29.607,37.738,5372.55825,5271.4289375,1560,38,1
"CP0018",183.067520050414,183.066116333008,183.069808959961,33.673,30.624,37.738,1192.10314285714,1166.49274285714,282,12,1
"CP0019",187.080740418381,187.080139160156,187.082138061523,33.673,31.64,36.722,1101.7776,1097.712,298,159,1
"CP0020",189.096612817991,189.094787597656,189.09880065918,33.673,29.607,37.738,4288.086125,4236.96844117647,1352,41,1
"CP0021",198.939333725594,198.939254760742,198.939392089844,34.689,31.64,36.722,2508.4752,2504.4096,847,846,1
"CP0022",200.972243217906,200.970657348633,200.972702026367,33.673,20.462,36.722,3492.85125,3410.38982142857,964,37,1
"CP0023",201.096792108445,201.096710205078,201.096862792969,33.673,30.624,36.722,2667.875,2662.79333333333,773,772,1
"CP0024",214.916249688498,214.915008544922,214.91911315918,34.689,31.64,36.722,1029.6132,1025.5476,298,96,1
"CP0025",223.988363257143,223.987426757812,223.989639282227,34.689,30.624,36.722,3246.16866666667,3224.40219444445,1011,63,1
"CP0026",243.020355091409,243.018539428711,243.020843505859,34.689,30.624,36.722,2219.672,2213.02348611111,624,86,1
"CP0027",261.030925199681,261.028747558594,261.033264160156,34.689,30.624,37.738,1179.90771428571,1173.81,297,76,1
"CP0028",284.046443200764,284.043762207031,284.048461914062,34.689,24.526,51.959,1248.70951851852,1224.11295524691,383,30,1
"CP0029",111.009865568985,111.008018493652,111.01131439209,34.689,29.607,40.787,4734.22181818182,4502.28592818946,975,12,1
"CP0030",112.004950329016,112.004386901855,112.006034851074,34.689,30.624,38.754,4384.1025,4376.98875,1121,1005,1
"CP0031",129.039985808915,129.038757324219,129.04052734375,34.689,30.624,38.754,4298.7375,4286.12404411765,1000,79,1
"CP0032",182.065995907571,182.065887451172,182.066101074219,33.673,30.624,37.738,5809.08914285714,5797.20116206483,1584,108,1
"CP0033",110.008149782246,110.007385253906,110.008880615234,34.689,29.607,38.754,28600.6363333333,28547.7144047619,6264,373,1
"CP0034",128.018592556398,128.017272949219,128.018997192383,33.673,30.624,38.754,11625.9,11617.77,2880,769,1
"CP0035",274.942342569378,274.935974121094,274.944641113281,37.738,32.657,40.787,2228.63625,2208.27820121951,583,57,1
"CP0036",342.933538034422,342.929656982422,342.937866210938,38.754,35.705,41.802,1366.74416666667,1360.14727822581,413,64,1
"CP0037",590.887790793679,590.879089355469,590.89453125,37.738,34.689,41.802,1545.55328571429,1539.45642857143,350,149,1
"CP0038",692.868006340568,692.85791015625,692.874816894531,38.754,34.689,41.802,1389.06728571429,1382.97042857143,394,65,1
"CP0039",912.869425151769,912.867431640625,912.870574951172,38.754,34.689,40.787,1667.803,1662.72133333333,919,163,1
"CP0040",151.035425334361,151.033630371094,151.037124633789,34.689,29.607,42.818,8597.31230769231,8580.81350226244,1871,263,1
"CP0041",170.065365498098,170.064956665039,170.066970825195,33.673,30.624,37.738,16950.6294285714,16943.5154285714,4263,1139,1
"CP0042",220.935184724967,220.934188842773,220.936798095703,37.738,34.689,41.802,2994.573,2988.47614285714,600,599,1
"CP0043",226.24190203044,226.240188598633,226.243896484375,39.77,36.722,41.802,2119.376,2115.312,900,899,1
"CP0044",270.977853220902,270.975799560547,270.979736328125,39.77,35.705,41.802,1456.16683333333,1436.29061333333,582,26,1
"CP0045",273.945920558631,273.943969726562,273.947784423828,39.77,33.673,60.084,3077.89730769231,3069.77084615385,656,235,1
"CP0046",295.150715458068,295.149993896484,295.15087890625,35.705,32.657,39.77,11659.2231428572,11360.1856264637,4181,39,1
"CP0047",295.942849078321,295.939971923828,295.945007324219,39.77,35.705,43.834,3246.519375,3239.4065,1164,320,1
"CP0048",309.166272291461,309.164428710938,309.168853759766,35.705,32.657,42.818,8570.8035,8350.67269285714,2669,52,1
"CP0049",331.147229917709,331.144805908203,331.1513671875,39.77,34.689,43.834,5356.93777777778,5174.59953026197,1455,18,1
"CP0050",336.014819478989,336.012634277344,336.01953125,39.77,34.689,42.818,1675.590125,1653.625567,394,18,1
"CP0051",341.931461115657,341.928924560547,341.933776855469,38.754,34.689,41.802,2133.9,2127.80314285714,525,524,1
"CP0052",356.909012398343,356.906768798828,356.912353515625,39.77,6.246,61.1,3044.397,3033.22303703704,618,157,1
"CP0053",408.921684408966,408.919128417969,408.926300048828,38.754,34.689,41.802,15770.5371428571,15764.4402857143,3939,3938,1
"CP0054",409.922219391606,409.915191650391,409.926300048828,38.754,34.689,41.802,2886.86185714286,2880.765,703,702,1
"CP0055",410.917002060173,410.912414550781,410.922454833984,39.77,5.229,45.863,2897.2042,2887.0457,582,145,1
"CP0056",421.115024333939,421.109527587891,421.117858886719,39.77,36.722,41.802,1315.72,1311.656,525,524,1
"CP0057",449.010316248596,449.006134033203,449.013854980469,39.77,34.689,42.818,4966.819,4955.74815423387,1313,136,1
"CP0058",463.029074464283,463.025634765625,463.032104492188,39.77,34.689,41.802,4810.42028571429,4782.59108294931,1575,48,1
"CP0059",476.909029892784,476.907470703125,476.912017822266,38.754,34.689,41.802,11143.0225714286,11136.9257142857,2626,2625,1
"CP0060",478.903744888502,478.897918701172,478.909301757812,38.754,34.689,41.802,2139.99685714286,2133.9,537,123,1
"CP0061",492.882926878578,492.878753662109,492.884918212891,39.77,34.689,43.834,4216.86111111111,4209.74833333333,1182,234,1
"CP0062",514.877716438994,514.877014160156,514.878723144531,39.77,35.705,41.802,10705.3158333333,10700.235,3545,3544,1
"CP0063",517.000334411567,516.996276855469,517.002563476562,39.77,34.689,41.802,7641.39428571428,7628.70888940092,3020,206,1
"CP0064",531.015522556179,531.010925292969,531.019165039062,39.77,35.705,41.802,6913.998,6898.01795967742,2101,114,1
"CP0065",532.896089194839,532.892395019531,532.900939941406,39.77,35.705,41.802,3322.865,3310.28584005376,1050,59,1
"CP0066",560.873599305276,560.870361328125,560.876525878906,38.754,35.705,41.802,3744.57416666667,3739.49333333333,1182,1181,1
"CP0067",567.390597969263,567.384948730469,567.393432617188,39.77,35.705,41.802,2120.73983333333,2115.659,759,758,1
"CP0068",567.896090314272,567.894714355469,567.897033691406,39.77,35.705,41.802,11585.3161666667,11580.2353333333,3676,3675,1
"CP0069",589.885514435464,589.881896972656,589.889892578125,39.77,32.657,41.802,2402.08666666667,2395.99,656,521,1
"CP0070",599.005411263287,599.001281738281,599.007080078125,39.77,34.689,41.802,4431.399,4424.07293778802,1313,103,1
"CP0071",600.883242787406,600.878845214844,600.88671875,39.77,35.705,41.802,16296.2648333333,16291.184,4858,4857,1
"CP0072",601.387637857876,601.384460449219,601.390808105469,39.77,35.705,41.802,3597.23,3592.14916666667,1182,1181,1
"CP0073",612.883670565649,612.882202148438,612.884704589844,38.754,34.689,41.802,11759.8212857143,11753.7244285714,2626,2625,1
"CP0074",613.888993784697,613.882751464844,613.89404296875,39.77,34.689,53.991,3620.64884210526,3607.45040322581,919,86,1
"CP0075",614.88865328965,614.882873535156,614.892456054688,38.754,34.689,41.802,2674.488,2668.39114285714,788,626,1
"CP0076",635.378704056445,635.375305175781,635.383483886719,39.77,35.705,41.802,5812.47333333333,5807.3925,2626,2625,1
"CP0077",642.867215100801,642.863464355469,642.869995117188,39.77,35.705,41.802,7547.06983333333,7541.989,3414,3413,1
"CP0078",643.365140126133,643.357788085938,643.369384765625,39.77,35.705,41.802,1920.555,1915.47416666667,656,655,1
"CP0079",650.933240424262,650.931762695312,650.9404296875,39.77,35.705,41.802,2661.3405,2656.25966666667,1182,1181,1
"CP0080",657.874838045328,657.866394042969,657.878295898438,38.754,34.689,41.802,4364.33357142857,4357.22057142857,1240,317,1
"CP0081",658.377951355908,658.373718261719,658.381958007812,38.754,35.705,41.802,1671.59416666667,1666.51333333333,394,393,1
"CP0082",666.993470352244,666.990661621094,666.998657226562,39.77,35.705,41.802,3957.96916666667,3952.88833333333,1313,1312,1
"CP0083",668.872458094439,668.870666503906,668.875,39.77,35.705,41.802,25122.6885,25117.6076666667,7010,3746,1
"CP0084",676.856678472042,676.855163574219,676.858154296875,39.77,35.705,41.802,7841.75816666667,7836.67733333333,3020,3019,1
"CP0085",677.919780679363,677.916870117188,677.922241210938,39.77,36.722,41.802,2542.032,2537.968,788,787,1
"CP0086",680.87127145146,680.868713378906,680.873291015625,38.754,34.689,41.802,11554.5604285714,11540.4335644599,3151,123,1
"CP0087",681.87527328393,681.869506835938,681.877868652344,38.754,35.705,41.802,2843.23433333333,2838.1535,919,918,1
"CP0088",691.869372628243,691.860900878906,691.872741699219,38.754,31.64,46.878,6304.46853333333,6290.37747956989,2363,138,1
"CP0089",696.848627789895,696.844665527344,696.851440429688,39.77,34.689,41.802,3754.64785714286,3748.551,919,918,1
"CP0090",699.856623417401,699.850463867188,699.86376953125,38.754,35.705,41.802,3075.9365,3070.85566666667,919,125,1
"CP0091",703.870786799076,703.868530273438,703.873168945312,39.77,35.705,41.802,12355.5705,12350.4896666667,3807,3806,1
"CP0092",711.351604523754,711.348693847656,711.354125976562,39.77,35.705,41.802,2339.21566666667,2334.13483333333,919,918,1
"CP0093",711.917042077977,711.914672851562,711.919128417969,39.77,35.705,41.802,3321.84883333333,3316.768,1575,1574,1
"CP0094",718.923168901871,718.915405273438,718.931396484375,39.77,35.705,41.802,2466.2365,2461.15566666667,919,178,1
"CP0095",725.864233903103,725.858276367188,725.870422363281,38.754,35.705,41.802,5481.203,5476.12216666667,1444,1443,1
"CP0096",726.361792598923,726.357604980469,726.365905761719,38.754,35.705,41.802,3087.11433333333,3082.0335,1313,1312,1
"CP0097",733.849441601229,733.842895507812,733.856567382812,38.754,35.705,41.802,2977.36833333333,2972.2875,919,918,1
