"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP00001",310.896124843876,310.893737792969,310.898712158203,5.071,0.149,14.913,1336.63413333333,1239.99704242424,128,8,1
"CP00002",311.395819091797,311.394348144531,311.399200439453,29.674,13.929,35.58,1790.14404545455,1709.44486363636,101,8,1
"CP00003",311.396438598633,311.394561767578,311.399566650391,4.086,0.149,11.96,1052.16325,1008.14043181818,128,10,1
"CP00004",311.896138164283,311.895812988281,311.898315429688,4.086,0.149,12.945,1562.09630769231,1521.38176223776,162,19,1
"CP00005",311.895507593997,311.890655517578,311.900573730469,30.659,22.785,36.564,1397.58428571429,1356.8736038961,162,19,1
"CP00006",193.971945294533,193.970291137695,193.974243164062,31.643,20.817,37.548,3311.75382352941,3288.84935294118,304,63,1
"CP00007",193.972231657609,193.970520019531,193.974456787109,14.913,9.007,20.817,2850.14666666667,2831.53696969697,257,53,1
"CP00008",193.971699477194,193.970520019531,193.974456787109,4.086,0.149,9.007,1865.10111111111,1852.21674747475,257,53,1
"CP00009",194.969664248428,194.967102050781,194.972991943359,29.674,16.882,37.548,2401.19238095238,2361.82857142857,176,26,1
"CP00010",194.968237479528,194.965316772461,194.969268798828,5.071,0.149,9.992,1323.8835,1304.1975,196,29,1
"CP00011",233.020230202337,233.017837524414,233.022369384766,29.674,18.85,35.58,4890.08058823529,4873.35058823529,352,351,1
"CP00012",233.0205686818,233.01806640625,233.022369384766,7.04,0.149,18.85,5509.90515789474,5491.20415789474,392,391,1
"CP00013",235.018047435864,235.016693115234,235.021270751953,23.77,0.149,38.532,4847.08397435897,4698.11498834499,189,18,1
"CP00014",274.942580754039,274.940551757812,274.945495605469,25.739,0.149,35.58,3889.53644444444,3855.08963888889,176,175,1
"CP00015",276.940837946805,276.937255859375,276.944763183594,29.674,19.834,38.532,1299.01894736842,1255.53938755981,122,21,1
"CP00016",276.940485340028,276.937713623047,276.942413330078,7.04,0.149,12.945,1076.83261538462,1045.42425174825,108,19,1
"CP00017",302.919986240478,302.917907714844,302.922821044922,6.055,0.149,21.801,3974.12618181818,3859.96109090909,237,12,1
"CP00018",234.020717686244,234.017517089844,234.021896362305,29.674,18.85,36.564,2203.42477777778,2185.71077777778,176,175,1
"CP00019",234.021835327148,234.019668579102,234.024002075195,11.96,7.04,17.866,1544.18127272727,1532.37109090909,183,182,1
"CP00020",234.021476727821,234.019668579102,234.021835327148,3.101,0.149,7.04,957.849,950.958,189,188,1
"CP00021",300.92110141251,300.919586181641,300.924621582031,29.674,17.866,37.548,4845.7084,4774.13749090909,338,28,1
"CP00022",300.921926234864,300.91748046875,300.924835205078,5.071,0.149,9.007,2301.11155555556,2268.90064646465,304,25,1
"CP00023",561.175778802836,561.172119140625,561.178955078125,35.58,32.627,37.548,834.6016,830.6648,246,245,1
"CP00024",697.18992299341,697.187683105469,697.195373535156,34.596,31.643,37.548,880.829166666667,875.908333333334,270,269,1
"CP00025",134.981661210163,134.979461669922,134.982879638672,30.659,19.834,38.532,10257.3291578947,10238.6311578947,737,701,1
"CP00026",134.981381465711,134.981140136719,134.982772827148,9.007,6.055,15.896,6843.4314,6832.6063,699,698,1
"CP00027",145.013694344694,145.012969970703,145.0146484375,36.564,33.611,38.532,1399.5324,1395.5956,524,523,1
"CP00028",178.986735324882,178.98503112793,178.988815307617,36.564,33.611,38.532,837.5542,830.107086666667,297,53,1
"CP00029",195.929709483195,195.928802490234,195.930938720703,35.58,33.611,38.532,1310.9544,1295.56807333333,507,51,1
"CP00030",196.925948613552,196.922988891602,196.926773071289,36.564,30.659,38.532,2257.58275,2247.7415,734,119,1
"CP00031",234.907134537623,234.906326293945,234.908721923828,36.564,33.611,38.532,1399.5324,1390.28092,500,72,1
"CP00032",236.976045455776,236.974395751953,236.976348876953,35.58,30.659,38.532,486.15775,481.237125,196,70,1
"CP00033",238.985615265235,238.985366821289,238.985763549805,36.564,33.611,38.532,875.938,872.0012,353,352,1
"CP00034",252.920317944584,252.918807983398,252.923568725586,35.58,29.674,38.532,1275.552,1199.3732,446,20,1
"CP00035",252.968295692501,252.968078613281,252.968505859375,36.564,33.611,38.532,1047.1888,1043.252,311,310,1
"CP00036",253.920612494151,253.919342041016,253.922012329102,35.58,30.659,38.532,586.5385,570.05440625,223,27,1
"CP00037",253.969077777652,253.967041015625,253.971298217773,36.564,32.627,38.532,459.605833333333,454.685,142,128,1
