Experiment	MS Type	Min m/z	Max m/z
0	SCAN	100	1250
1	SWATH	100	125
2	SWATH	124	150
3	SWATH	149	175
4	SWATH	174	200
5	SWATH	199	225
6	SWATH	224	250
7	SWATH	249	275
8	SWATH	274	300
9	SWATH	299	325
10	SWATH	324	350
11	SWATH	349	375
12	SWATH	374	400
13	SWATH	399	425
14	SWATH	424	450
15	SWATH	449	475
16	SWATH	474	500
17	SWATH	499	525
18	SWATH	524	550
19	SWATH	549	575
20	SWATH	574	600
21	SWATH	599	625
22	SWATH	624	650
23	SWATH	649	675
24	SWATH	674	700
25	SWATH	699	725
26	SWATH	724	750
27	SWATH	749	775
28	SWATH	774	800
29	SWATH	799	825
30	SWATH	824	850
31	SWATH	849	875
32	SWATH	874	900
33	SWATH	899	925
34	SWATH	924	950
35	SWATH	949	975
36	SWATH	974	1000
